reference_clause,target_clause,compliance,source_file
Some obligations of Agreement may survive termination of Agreement.,"The Retained Information shall be held by the Receiving Party, and kept confidential in strict accordance with the terms of this Confidentiality Agreement, or shall be destroyed, unless the Receiving Party is prohibited from destroying it.  Any and all oral Information shall continue to be held in strict accordance with this Confidentiality Agreement.",compliant,CNDA1218Draft3.pdf
Receiving Party may independently develop information similar to Confidential Information.,The term “Information” shall not include any Information which: (4) Receiving party can show was independently developed by the Receiving Party entirely without reference to or under any further investigation of the Information.,compliant,CNDA1218Draft3.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"All copies of the Information, in documentary or other tangible form, shall be returned to the Delivering Party immediately upon the earlier to occur of:  (ii) the written request of the Delivering Party; provided, however, that the Receiving Party may retain the Receiving Party’s Work Product, and any Information which it is required to retain pursuant to law, regulation, government regulatory authority, court order or legal process, as determined by the reasonably supported written opinion of its legal counsel, an original of which legal opinion shall be delivered to the Delivering Party (“Retained Information”).",compliant,CNDA1218Draft3.pdf
Confidential Information may include verbally conveyed information.,"B. “Delivering Party” has furnished, is furnishing, or will be furnishing, either directly or indirectly through a representative, to the other party (“Receiving Party”) or to the Receiving Party’s representatives, including without limitation, any agents, brokers, lender, appraisers, escrow, professional advisors, consultants, affiliates, officers, directors, partners, shareholders, accountants, legal counsel and employees (collectively, “Representatives”) of the Receiving Party, certain information, in whatever form or by whatever mode or medium whatsoever, about the Delivering Party, the Delivering Party’s Property or the Delivering Party’s Business, which, at the time of such delivery, was, is or will be identified as confidential information because it is either nonpublic, confidential or proprietary in nature.  SuchF information provided, whether provided in documentary, oral, visual, electronic, tangible or any other form, including without limitation, in the form of designs, sketches, drawings, photographs, videotapes, specifications, blueprints, plans, studies, findings, computer printouts, computer disks, documents, memoranda, reports, notebooks, manuals, notes, contracts, correspondence, files, lists and other records, and the like, and all photocopies or other reproductions, together with any analysis, compilations, forecasts, studies, reports or other documents or information prepared, developed or concluded by the Receiving Party or its Representatives, which contains, is derived from, or otherwise reflects such information about the Property or the Business, as the case may be (“Work Product”), is hereinafter collectively referred to as the “Information”.  Non-tangible information will be Information only to the extent that it is first disclosed in non-tangible form and is orally identified at the time of disclosure as confidential information and is summarized in tangible form conspicuously marked as “confidential information” and delivered to Receiving Party in such tangible form within thirty (30) days of the original disclosure.",compliant,CNDA1218Draft3.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","B. “Delivering Party” has furnished, is furnishing, or will be furnishing, either directly or indirectly through a representative, to the other party (“Receiving Party”) or to the Receiving Party’s representatives, including without limitation, any agents, brokers, lender, appraisers, escrow, professional advisors, consultants, affiliates, officers, directors, partners, shareholders, accountants, legal counsel and employees (collectively, “Representatives”) of the Receiving Party, certain information, in whatever form or by whatever mode or medium whatsoever, about the Delivering Party, the Delivering Party’s Property or the Delivering Party’s Business, which, at the time of such delivery, was, is or will be identified as confidential information because it is either nonpublic, confidential or proprietary in nature.  The Receiving Party agrees to reveal the Information only to those Representatives who need to know the Information for the purpose of the consideration, contemplation and evaluation of the Transaction and who are informed by the Receiving Party of the confidential nature of the Information.",compliant,CNDA1218Draft3.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","E. COMPELLED DISCLOSURE: In the event that the Receiving Party or anyone to whom the Receiving Party transmits the Information pursuant to this Confidentiality Agreement, becomes legally compelled to disclose any of the Information, the Receiving Party shall provide the Delivering Party with prompt Notice so that the Delivering Party may seek a protective order or other appropriate remedy and/or waive compliance with the provisions of this Confidentiality Agreement.",compliant,CNDA1218Draft3.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"The term “Information” shall not include any Information which: (3) The Receiving Party can show becomes or became available to the Receiving Party on a non-confidential basis from a source lawfully in possession of such Information (other than the Delivering Party or a Representative of the Delivery Party) which is not, to the knowledge of the Receiving Party, in breach of any agreement or prohibited from disclosing such Information to Receiving Party by a legal, contractual or fiduciary obligation to the Delivering Party; OR",compliant,CNDA1218Draft3.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"B. “Delivering Party” has furnished, is furnishing, or will be furnishing, either directly or indirectly through a representative, to the other party (“Receiving Party”) or to the Receiving Party’s representatives, including without limitation, any agents, brokers, lender, appraisers, escrow, professional advisors, consultants, affiliates, officers, directors, partners, shareholders, accountants, legal counsel and employees (collectively, “Representatives”) of the Receiving Party, certain information, in whatever form or by whatever mode or medium whatsoever, about the Delivering Party, the Delivering Party’s Property or the Delivering Party’s Business, which, at the time of such delivery, was, is or will be identified as confidential information because it is either nonpublic, confidential or proprietary in nature.  The Receiving Party agrees to reveal the Information only to those Representatives who need to know the Information for the purpose of the consideration, contemplation and evaluation of the Transaction and who are informed by the Receiving Party of the confidential nature of the Information.",compliant,CNDA1218Draft3.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Accordingly, the parties wish to ensure that the Information provided by the Delivering Party will only be disclosed or used in strict accordance with the provisions of this Confidentiality Agreement.",compliant,CNDA1218Draft3.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"The exposure of the Receiving Party to the Confidential Information or its disclosure shall not be construed in any way to grant to the Receiving Party any right or license with respect to the Information other than the right to use such Confidential Information strictly in accordance with this Agreement.  No license, intellectual property right or other ownership or use right is conveyed solely by this Agreement, except the limited right to use Confidential Information described in Sections 1 and 2 of this Agreement.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Confidential Information shall only include technical information.,"(b) “ConfidentialInformation” means all information, whether visual, written, electronic or ​ ​ ​ oral, (including any information furnished prior to the execution of this Agreement) related to the products, services, technology, business, customers, working capital, affairs, assets, condition (financial or otherwise) or prospects of a Disclosing Party which is furnished by such Disclosing Party, or otherwise disclosed by such Disclosing Party, to a Receiving Party in connection with the consideration and evaluation of the Transaction (including, without limitation, samples, compounds and ingredients thereof, prototypes, formulae, technical know how, technical data, financial information, payment terms, performance data, product specifications and customer and/or supplier information) and all reports, analyses, compilations, data, studies and other materials (in whatever form maintained, whether documentary, computer storage or otherwise) prepared by the Receiving Party containing or reflecting such furnished information.",noncompliant,Confidentiality%20ND%20Agreement%209.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"(b) “ConfidentialInformation” means all information, whether visual, written, electronic or ​ ​ ​ All such Information shall be identified as confidential and/or proprietary in accordance with the following:  (i) in the case of written or electronic information, such Information shall be identified at the time of disclosure with an appropriate legend, marking, stamp, or positive written identification on the face thereof or by an accompanying written statement;  (ii) in the case of visual information, such Information shall be identified as confidential at the time of disclosure or as soon thereafter as is reasonably practicable; and  (iii) with respect to oral information, such information shall be reduced to written or language form, marked as confidential with an appropriate legend, marking, stamp, or positive written identification, and transmitted to the Receiving Party within thirty (30) days following the oral disclosure.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Some obligations of Agreement may survive termination of Agreement.,"This Agreement shall be in effect for a period of two (2) years from the date hereof, provided that  (ii) with respect to Confidential Information disclosed hereunder, the confidentiality obligations set forth in Paragraph 2(a) shall remain in full force and effect for so long as such Confidential Information remains confidential and non-public.  Notwithstanding anything to the contrary herein, information or property which is protected by law for a longer period of time (e.g. trade secrets) shall continue to receive all protections to which it is entitled for so long as it qualifies for protection under the applicable law.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Receiving Party may independently develop information similar to Confidential Information.,The term “Confidential Information” does not include information  (iii) which a Receiving Party can prove  (2) was developed by the Receiving Party independently of any Information received from the Disclosing Party and without otherwise violating any of the terms of this Agreement.,compliant,Confidentiality%20ND%20Agreement%209.pdf
Confidential Information may include verbally conveyed information.,"(b) “ConfidentialInformation” means all information, whether visual, written, electronic or ​ ​ ​ oral, (including any information furnished prior to the execution of this Agreement) related to the products, services, technology, business, customers, working capital, affairs, assets, condition (financial or otherwise) or prospects of a Disclosing Party which is furnished by such Disclosing Party, or otherwise disclosed by such Disclosing Party, to a Receiving Party in connection with the consideration and evaluation of the Transaction (including, without limitation, samples, compounds and ingredients thereof, prototypes, formulae, technical know how, technical data, financial information, payment terms, performance data, product specifications and customer and/or supplier information) and all reports, analyses, compilations, data, studies and other materials (in whatever form maintained, whether documentary, computer storage or otherwise) prepared by the Receiving Party containing or reflecting such furnished information.",compliant,Confidentiality%20ND%20Agreement%209.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","(f) “Representatives” means all Persons acting on behalf of a specified Party or its Affiliates, including without limitation, its directors, officers, lenders, employees, agents, representatives, financial advisors, attorneys, accountants, consultants, reserve and valuation and other experts. Moreover, each Receiving Party shall have the right to disclose that it is evaluating the Transaction and transmit Confidential Information to its Representatives only if and to the extent that such Representatives need to know the Confidential Information for the purpose of evaluating the Transaction and are informed by such Receiving Party of the confidential nature of the Confidential Information and agree (in writing) to be bound by the terms of this Agreement.",compliant,Confidentiality%20ND%20Agreement%209.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","(c) Should it be necessary for a Receiving Party, or anyone to whom it transmits Confidential Information pursuant to this Agreement, to disclose any of the Confidential Information it received from a Disclosing Party in order to comply with applicable law or legal process (including, without limitation, the disclosure requirements of any securities exchange), the Receiving Party will provide the Disclosing Party with prompt written notice of such requirement(s) so that the Disclosing Party may seek a protective order or other appropriate remedy or waive compliance with the provisions of this Agreement.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,The term “Confidential Information” does not include information  (ii) which is or becomes known or available to the Receiving Party on a non-confidential basis and not in contravention of applicable law from a source (other than the Disclosing Party) which has represented to the Receiving Party (which the Receiving Party has no reason to disbelieve after due inquiry) that it is entitled to disclose it to the Receiving Party on such basis or,compliant,Confidentiality%20ND%20Agreement%209.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"(f) “Representatives” means all Persons acting on behalf of a specified Party or its Affiliates, including without limitation, its directors, officers, lenders, employees, agents, representatives, financial advisors, attorneys, accountants, consultants, reserve and valuation and other experts. Moreover, each Receiving Party shall have the right to disclose that it is evaluating the Transaction and transmit Confidential Information to its Representatives only if and to the extent that such Representatives need to know the Confidential Information for the purpose of evaluating the Transaction and are informed by such Receiving Party of the confidential nature of the Confidential Information and agree (in writing) to be bound by the terms of this Agreement.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"(a) Each Receiving Party shall keep all Confidential Information it receives or obtains from a Disclosing Party confidential and shall not, without the prior written consent of the Disclosing Party, disclose such Confidential Information, in whole or in part, and shall not use such Confidential Information, directly or indirectly, for any purpose other than in connection with evaluating the Transaction.",compliant,Confidentiality%20ND%20Agreement%209.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.," I understand that upon termination of my employment/affiliation/association with FAU, I will immediately return or destroy, as appropriate, any FAU Confidential Information, Restricted Data and Sensitive Data in my possession.",compliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Confidential Information shall only include technical information.,"This information may include, but is not limited to, patient health records, as well as information regarding human resources, payroll, fiscal matters, research, and strategic planning, and may exist in any form, including electronic, video, spoken, or written.",noncompliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Some obligations of Agreement may survive termination of Agreement.,"I understand that my confidentiality obligations under this Agreement will continue after the termination of this Agreement and after termination of my employment, affiliation or association with FAU.",compliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Confidential Information may include verbally conveyed information.,"This information may include, but is not limited to, patient health records, as well as information regarding human resources, payroll, fiscal matters, research, and strategic planning, and may exist in any form, including electronic, video, spoken, or written.",compliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","I hereby agree as follows:  I will not disclose any PHI to any individual or third party, except as specifically authorized by FAU policies and procedures, and upon receiving a written authorization from the patient (unless otherwise required by applicable law), and then only on a need-to-know basis.",noncompliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"I understand that I may access and/or use FAU Confidential Information, Restricted Data and Sensitive Data only as necessary to perform my job-related duties and that I may disclose (i.e., share) FAU Confidential Information, Restricted Data, and/or Sensitive Data only to authorized individuals with a need to know that information in connection with the performance of their job functions or professional duties.",compliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"I understand that I may access and/or use FAU Confidential Information, Restricted Data and Sensitive Data only as necessary to perform my job-related duties and that I may disclose (i.e., share) FAU Confidential Information, Restricted Data, and/or Sensitive Data only to authorized individuals with a need to know that information in connection with the performance of their job functions or professional duties.",compliant,Confidentiality%20Non-Disclosure%20and%20Appropriate%20Use%20Agreement%20-%20FAU.01082016.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"Listing Broker, Prospect, and Prospect’s Broker agree not to disclose to any other person the fact that any discussions or negotiations are taking place with regard to the Property, the actual or potential terms, conditions, or facts involved in any such discussions or negotiations.",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement%20%28CNA-1%29.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Prospect’s and Prospect’s Broker’s dissemination of any information and materials provided by Listing Broker will be limited to attorneys, accountants, banking representatives, and business advisors directly involved with the above-referenced Property.",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement%20%28CNA-1%29.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Prospect’s and Prospect’s Broker’s dissemination of any information and materials provided by Listing Broker will be limited to attorneys, accountants, banking representatives, and business advisors directly involved with the above-referenced Property.",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement%20%28CNA-1%29.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Prospect and Prospect’s Broker acknowledge that all information and materials provided by Listing Broker regarding the above-referenced Property is confidential and may not be used for any purpose other than evaluation.,compliant,Confidentiality%20and%20Non-Disclosure%20Agreement%20%28CNA-1%29.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"11. Upon receipt of a written request to the undersigned, the undersigned and its Representatives shall promptly return to BDO any and all Information received, printed, downloaded or otherwise copied together with personal notes including written materials and any notes of verbal conversations with representatives from Baldwin or BDO obtained in the course of any investigation and/or inspection of the business and the Assets being offered for sale;",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Also, BDO reserves the right not to sell or otherwise dispose of the Assets and to terminate, at any time, further participation in the investigation and due diligence process by you or any other party and to modify any data, documentation and other procedures relating to the proposed sale without assigning any reason thereto.",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party may independently develop information similar to Confidential Information.,8. The term “Information” does not include and this NDA will not apply to any information that:  (c) has been independently acquired or developed by the undersigned or any of its Representatives without violation of any obligation under this NDA;,compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party shall not solicit some of Disclosing Party's representatives.,"6. The undersigned and its Representatives shall under no circumstances contact directly or indirectly any of the residents, partners or former partners or directors of Baldwin:  (i) to ask any questions regarding the possible acquisition of all or part of the Assets, (ii) to request additional information or regarding the contents of any of the Information previously obtained,  (iii) to request a facility tour or meeting, or  (iv) for any other reason, except in the ordinary course of business;",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","2. Not to supply any documents or portions of documents included in the Information or any information included therein or any information hereinafter obtained in the course hereof or with respect hereto to any person or corporation except to the Representatives (defined below) and as otherwise specifically provided for herein; 3. The Information is to be used by the undersigned, its affiliates, and their respective directors, officers, employees, accountants, attorneys, solicitors, financing sources, consultants, agents, representatives and advisors and their respective representatives, to the extent the foregoing are actually provided access to the Information by the undersigned (collectively the “Representatives”), only in connection with the consideration of a possible acquisition of the Assets;",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"9. The Information being made available is confidential and may not be photocopied, reproduced or distributed to any other person at any time, except for the purposes of obtaining professional advice, without the prior written consent of BDO.",noncompliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","7. In the event that the undersigned, or any of the Representatives, or any one to whom any of them furnish some or all of the Information, receives a request or demand to disclose all or any part of such Information by a governmental body or deposition, interrogatory, request for documents, subpoena, civil investigative demand or similar process, the undersigned agrees to first notify BDO (to the extent permitted to do so by applicable law) by delivering written notice to the address noted above, so that BDO or its legal representative may seek an appropriate protective order; provided, however, if such protective order or other remedy is not obtained, or BDO waives compliance with the provisions hereof, the undersigned or such Representative, as the case may be, may disclose such Information which the undersigned or such Representative, as the case may be, is legally required to be disclosed;",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,8. The term “Information” does not include and this NDA will not apply to any information that:  (c) has been independently acquired or developed by the undersigned or any of its Representatives without violation of any obligation under this NDA;,compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"2. Not to supply any documents or portions of documents included in the Information or any information included therein or any information hereinafter obtained in the course hereof or with respect hereto to any person or corporation except to the Representatives (defined below) and as otherwise specifically provided for herein; 3. The Information is to be used by the undersigned, its affiliates, and their respective directors, officers, employees, accountants, attorneys, solicitors, financing sources, consultants, agents, representatives and advisors and their respective representatives, to the extent the foregoing are actually provided access to the Information by the undersigned (collectively the “Representatives”), only in connection with the consideration of a possible acquisition of the Assets;",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"8. In accordance with the terms of the NDA executed by you, the Information being made available to you at the Data Rooms or any other information to be made available to you by BDO is to be kept confidential and upon the express understanding that it will be used only for the purposes set forth above.",compliant,Confidentiality%20and%20Non-Disclosure%20Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Notwithstanding anything to the contrary contained in this Agreement, all of the Confidential Information and the Confidential Materials are and shall remain the property of the Disclosing Party.  By disclosing information to the Receiving Party, the Disclosing Party does not grant any express or implied right or interest in the patents, copyrights, trademarks, trade secret information, or intellectual property rights of the Assignors.",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"WHEREAS, as a condition to furnishing the Confidential Information and the Confidential Materials to the Receiving Party and in order to protect the Confidential Information and the Confidential Materials, the Disclosing Party has required the Receiving Party to enter into this Agreement and abide by its terms; and WHEREAS, the Receiving Party, as a condition to receiving the Confidential Information and the Confidential Materials, has agreed to enter into this Agreement and agrees to keep such Confidential Information and Confidential Materials confidential in accordance with the terms and conditions of this Agreement. (a) “Confidential Information” shall include all information pertaining to the Assignors and their respective affiliates, employees, salespersons, independent contractors, agents, officers, directors, customers, suppliers, vendors, manufacturers, distributors, dealers, predecessors, successors and assigns disclosed by the Disclosing Party (or by a third party at the direction of the Disclosing Party) to the Receiving Party, regardless of the form or manner of disclosure (including, but not limited to, information learned by the Receiving Party from the Disclosing Party’s employees, agents, officers, directors, professional advisors or other representatives or through inspection of the Assigned Assets or the books and records of the Assignors), and including, but not limited to:  (vi) the existence and terms and conditions of this Agreement and the existence and content of the discussions between the Disclosing Party and the Receiving Party regarding a Possible Transaction.  The Receiving Party:  (v) except as provided in Section 7 below, shall not, without the Disclosing Party’s prior written consent, disclose  (A) to any other person, other than its Representatives, the fact that the Confidential Information or the Confidential Materials have been made available to the Receiving Party,  (B) that discussions or negotiations are taking place concerning a Possible Transaction, or  (C) any of the terms, conditions, or other facts with respect thereto;",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Confidential Information shall only include technical information.,"(a) “Confidential Information” shall include all information pertaining to the Assignors and their respective affiliates, employees, salespersons, independent contractors, agents, officers, directors, customers, suppliers, vendors, manufacturers, distributors, dealers, predecessors, successors and assigns disclosed by the Disclosing Party (or by a third party at the direction of the Disclosing Party) to the Receiving Party, regardless of the form or manner of disclosure (including, but not limited to, information learned by the Receiving Party from the Disclosing Party’s employees, agents, officers, directors, professional advisors or other representatives or through inspection of the Assigned Assets or the books and records of the Assignors), and including, but not limited to:  (i) information that relates to the Assignors’ trade secrets, products, services, product specifications, data, inventions, ideas, techniques, know-how, past, current and planned research and development, current and planned methods and processes, client lists, current and anticipated client, service provider and consultant requirements, price lists, market studies, business strategy and plans, business opportunities, computer hardware, software and programs (including object codes and source codes), computer database technologies and systems, and distribution, marketing, financial, merchandising, customer, sales and/or salary information;  (ii) all information concerning the Assignors’ business and affairs, operations, finances, assets, liabilities, forecasts, historical financial statements, financial projections and budgets, historical and projected sales, capital spending, budgets, strategic plans, marketing and advertising plans, publications, agreements, the names and backgrounds of clients and consultants and other service providers, key personnel, personnel training, and techniques and materials;  (iii) third party confidential information in the custody or care of the Disclosing Party to the extent the same is subject to a duty of confidentiality to such third party;  (iv) all offering documents and materials (including offering memoranda, supplements thereto and similar documents);  (v) all notes, analyses, compilations, statistics, studies, summaries, interpretations, and other material prepared by or for the Receiving Party which contain, are based on, or otherwise reflect, in whole or in part, any of the foregoing; and  All trade secrets of the Assignors also shall be entitled to all of the protections and benefits of the Florida Uniform Trade Secrets Act (the “Trade Secrets Act”) and any other applicable laws.  If any information that the Disclosing Party deems to be a trade secret of the Assignors is found by a court of competent jurisdiction not to be a trade secret, then such information nevertheless shall be considered Confidential Information for purposes of this Agreement.",noncompliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,Information disclosed by the Disclosing Party to the Receiving Party need not be identified as “confidential” to be deemed “Confidential Information” pursuant to this Agreement.,noncompliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Some obligations of Agreement may survive termination of Agreement.,"Additionally, the Receiving Party acknowledges that nothing in this Agreement (including Section 17 below) shall place a time limitation on the period of protection of such trade secret, it being agreed that the trade secrets of the Assignors shall enjoy perpetual protection against unauthorized disclosure or use, subject only to the provisions of the Trade Secrets Act and other applicable laws. All Confidential Information and Confidential Materials shall continue to be subject to the terms of this Agreement even after their return or destruction or the termination of this Agreement. This Section 9 shall survive the closing of the Possible Transaction and/or the termination of this Agreement. 17. Term. Unless otherwise set forth in this Agreement, this Agreement shall terminate on the earlier to occur of:  (i) the consummation of a Possible Transaction pursuant to a Definitive Agreement, and  (ii) two (2) years from the date that the Parties terminate their discussions and consideration of a Possible Transaction; provided, however, that all Confidential Information and Confidential Materials shall continue to be subject to the terms of this Agreement after the termination of this Agreement.",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Receiving Party may independently develop information similar to Confidential Information.,The term “Confidential Information” shall not include such portions of the Confidential Information that:  (iii) can be shown by written documentation to have been independently developed by the Receiving Party without use of or reliance upon any Confidential Information or Confidential Materials of the Disclosing Party; and/or,compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"At any time, at the Disclosing Party’s request, all copies of the Confidential Information and the Confidential Materials shall be returned to the Disclosing Party within five (5) business days of such request; provided, however, that the Receiving Party shall be permitted to retain a list that contains general descriptions of the documents it has returned to the Disclosing Party to facilitate the resolution of any controversies after the Confidential Information and the Confidential Materials have been returned.",noncompliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Confidential Information may include verbally conveyed information.,"(a) “Confidential Information” shall include all information pertaining to the Assignors and their respective affiliates, employees, salespersons, independent contractors, agents, officers, directors, customers, suppliers, vendors, manufacturers, distributors, dealers, predecessors, successors and assigns disclosed by the Disclosing Party (or by a third party at the direction of the Disclosing Party) to the Receiving Party, regardless of the form or manner of disclosure (including, but not limited to, information learned by the Receiving Party from the Disclosing Party’s employees, agents, officers, directors, professional advisors or other representatives or through inspection of the Assigned Assets or the books and records of the Assignors), and including, but not limited to:",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","The term “Confidential Information” shall not include such portions of the Confidential Information that:  (i) are already published or available to the public other than as a result of disclosure by the Receiving Party or any of its employees, officers, directors, members, managers, affiliates, agents, attorneys, accountants or other representatives or advisors (collectively, the “Representatives”);  The Receiving Party:  (iv) shall reveal the Confidential Information and the Confidential Materials only to its Representatives who need to know the Confidential Information and the Confidential Materials in connection with a Possible Transaction, and who  (A) are informed by the Receiving Party of the confidential and proprietary nature of the Confidential Information and the Confidential Materials, and  (B) before receiving the Confidential Information or the Confidential Materials, agree to maintain their confidentiality in accordance with the terms and conditions of this Agreement;  (vi) shall take all reasonable precautions necessary to safeguard the Confidential Information and the Confidential Materials from disclosure to any person or entity other than its Representatives, including taking reasonable security precautions at least as great as the precautions the Receiving Party takes to protect its own confidential information; and  The Receiving Party agrees that the Disclosing Party shall be entitled to require that such Confidential Information or Confidential Materials be disclosed only to certain specified Representatives and to the Receiving Party’s legal counsel and that no further disclosure thereof be made.",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,The Receiving Party:  (iii) shall not copy or reproduce any of the Confidential Information or the Confidential Materials without the prior written consent of the Disclosing Party;,noncompliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","In the event that the Receiving Party is issued any subpoena or other process requesting any of the Confidential Information or the Confidential Materials, the Receiving Party agrees that it will immediately furnish a copy of such subpoena or other process, via overnight delivery, to counsel to the Assignee, Edward J. Peterson, Esq. and Matthew B. Hale, Esq. of Stichter, Riedel, Blain & Postler, P.A., 110 East Madison Street, Suite 200, Tampa, Florida 33602, and to the Disclosing Party at the address set forth on Exhibit B attached to this Agreement.  In the event that the Receiving Party is requested or becomes legally compelled (by deposition, interrogatory, request for documents, subpoena, civil investigative demand or similar process) to disclose any of the Confidential Information or the Confidential Materials, then the Receiving Party shall provide the Disclosing Party with prompt written notice of such request or requirement so that the Disclosing Party may seek a protective order or other appropriate remedy and/or waive compliance with the terms of this Agreement.",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"The term “Confidential Information” shall not include such portions of the Confidential Information that:  (ii) become available to the Receiving Party on a non-confidential basis from a source (other than the Disclosing Party or one of the Disclosing Party’s employees, officers, directors, members, managers, affiliates, agents, attorneys, accountants or other representatives or advisors) that is not prohibited from disclosing such Confidential Information to the Receiving Party by a legal, contractual, or fiduciary obligation to the Disclosing Party or the Assignors;",compliant,Confidentiality-and-Non-Disclosure-Agreement-LSI-ABC.pdf
